apparence, aspect, photo ;hanus hanuu-n (2) ;hanue hanuu-n ;hanu. hanuu-n ;hanu, hanuu-n ;hanur hanuu-n 
chauffer quelque chose au feu ;paci (Tf) ;pai ;paci ;payi ;payi 
dormir prés du feu ;khd-vha~cegen (1) ;khd-vhaegen ;kno-fa-cegen ;kno-ayegen ;khé-pha~yebwen (Y) kne-pha-yebwen (W) hinu 
chaud (tempéré) ;khiut (7) (0) hinu ;khiut ;hinu ;hinu 
froid, avoir froid ;xhim (T) him (0) ;khim ;xhim ;khim ;cauk (Y) hwajo (W) 
brilant, briler ;het ;het ;het ;het ;texec 
frais, refroidi ;cakuk ;cauk ;cakuk ;caxuk ;cauk 
sans feu (ex. case abandonnée) ;hnibuun (7) ;;fhnibuun ;hnibuun ;hnibuun
marmite, sa marmite marmite d'ignames marmite de poissons ;cilaks cila-n cile-kuuk (2) cile-nuk (7) ;cilek, cile=-n cire-kuuk cire-nuk ;cilek, cile-n cire~kuuk cire-nuk ;cilek,s cile~-n cire-kuuk cire~nuk ;guc,s guye-n cire-kuic cire-nuk 
marmite en terre ;ci-guc (T) ;ci-guc ;ci-guc ;ci-guc 
bouilloire ;cile-we (Tf) ;cire-we ;cire-we ;cire-we ;cire-we 
son couvercle couvercle de marmite ;hyaukha-n (7) hyaukha-n cilak (7) ;hyauhé-n hyauhé-n cilek ;hive-n hive-cilek ;hive-n ~ hie-n hive-cilek ;hie-n hive-guc 
pierres soutiens de marmite ;kathak ;karhék ;katnek ;kanek ;gaadap 
couteau ;hele (T) thala (0) ;hele ;hele ;hele ;hele 
couteau, lame en bambou ;kan-hyavic (T) kan-ko (0) ;kan-hyavic ;kan-hyavic ;kan-hyavic ~ kan-hyaic ;kan-go 
assiette, son assiette ;helam, helama-n ;helam, helame-n ;helam, helame-n ;helam. helame-n ;gace gaye-n 
gourde, coco évidé ;gitava (T) ;girava/ pwen-girhep ;pwen-githep ;pwen-girep ;pwen-giyep 
calebasse ;;;we-kavee ;we-kaee ;we-kaee 
bouteille ;piin-we ;piin-we ;piin-we ;piin-we ;piin-we 
seau ;sio (Tf) ;sio ;cio ;sio ;sio 
remplir ;wo ;wo ;fo ;pho ;pho 
plein ;guto/ punuk ;guro/ punuk ;punuk ;punuk ;punuk 
contenu, son contenu ;hyan, hyana-n ;hyan, hyane-n ;hyan. hyane-n ;hyan, hyane-n ;hyan,. hyane-n 
son contenant, son enveloppe ;pii-n ;pii-n ;pii-n ;pii-n ;Pii-n 
vide ;koi hyana-n ;hlap/ koi hyane-n ;hlap/ koi hyane-n ;hlap/ koi hyane-n ;koi hyane-n 
vider ;huu ;huu ;huu ;huu 
verser, vider, répandre ;;kuti ;;kuli ;kuyi 
chavirer, renverser ;the-huu ;the-huu ;the-huu ;the-xuli ~ the-uli ;the-xuyi 
puiser de l'eau ;kupi ;kuvi ;kupi ;kuvi/ toi ;toi
puiser avec un seau ;cake we (T) ;cavi we ;cake we ;caxe we ;cabe we 
peler avec couteau (igname ou taro cru) ;nibe (2) thibi (0) ;nibe ;nibe ;nibe ;nibe 
éplucher, peler (banane, ma- nioc, tubercule cuit), écosser ;pwadi ;pwadi ;pwadi ;pwadi ;pwaji 
dépouiller (roussette) ;hnibwi (7) ;hnibwi ;hnibwi ;hnibwi thibwi (Coutna) (Tendo) ;thibwi 
vider (boyaux) ;vhautogi/ yai hootha-n (7) ;vhauroi/ yai hoorhé-n ;yaatni hootne-n ;yaani hoone-n ;yaari hoonge-n 
plumer ;thage (T) ;thage ;;thage ;thage 
vacler le grillé, raper (coco) ;hyeli (7) ;hyeli ;hyeli ;hyeli ;hyeli 
raper des Dtoscorea bulbifera ;hyei dimwa (I) ;hye-niwa ;hyei/ hye-niwa ;hyei/ hye-niwa 
écorcer coco (sur épieu) ;thalai (2) ;thalai ;thaa thep ;thaa thep ;thaa sep 
écailler poisson ;kubi ;kubi ;kubi ;kubi ;kubi 
passer 4 plir la flamme pour assou- (ex. feuille de bananier) ;tigi une (PT) (0) ;tigi ;tigi ;tigi ;une 
faire tremper dans l'eau ;;thuvale ;thuvele ;thuvale ;pulee 
sortir quelque chose qui a trempé dans l'eau ;;hyadi ;hyadi ;hyadi ;hyali 
envelopper des condiments (viande, poisson ou crustacés) dans des feuilles pour les cuire dans la marmite) ;thewi ;thewi ;phoom, phoomi ;phoom.e phoomi ;phoom, phoomi 
paquets de condiments cuits ;;;gare-phoom ;gare-phoom ;gare-phoom 
faire la cuisine ;pataak ;paraak ;pwe-cilek ;pwe-yi lek ;pwe-i lek 
faire bouillir dans l'eau ;vhai ;vhai ;fai ;fai ;phai 
bouillir (eau) ;fut (T) ;fut ;fut ;phut teo ;phut 
bouillir ;theego (1) ;thego ;teo ;;teo 
passer par dessus, déborder ;huto (2) ;huro ;huto ;huro ;huro 
vapeur d'eau ;theego (T) mwajo (0) ;neego ;deo ;deo ;deo 
retirer la marmite du feu ;pwei cilak (7) ;pwei cilek ;pwei cilek ;pwei cilek ;pwei guc 
sortir la nourriture, servir ;yai cilak (T) ;yai cilek ;yai cilek ;yai cilek ;yai guc
sauce ;we-thawo (1) ;we~het ;we-hinu ;we-inu ;we-inu 
brfiler, griller au feu ;cini ;cini ;cini ;cini ;cini 
cuire au four de pierres ;toni ;toni ;toni ;toni ;coni 
four de pierres ;thak ;thék ;tnek ;tnek ;kh&ék (¥) knek (W) 
pierres du four ;pae-thak ;pae-thék ;paye-tnek ;paye-tnek ;paye-khék (y) paye~knek (¥/) 
couverture du four (vieilles peaux de niaoulis) ;;yo ;kulip ;kulip ;kulip 
sortir du four, vider le four ;hue (2) ;hue ;hue ;hue ;pwia 
pincettes ;be-cimwi paik ;ba-hibany ;;ba-cimwi paik ;hyavehi (Y) 
fumer (poissons) ;mane nuk (Tf) ;mane nuk ;mane nuk ;mane nuk ;mane nuk 
fumoir ;kae-man (T) thadeen (Tf) ;kaa-man ;kave-man ;kave-man ;hman-man 
chauffer au feu (nourriture) ;;thadeen ;paci ;thadeen ;thadeen 
cuire sous la cendre ;thitami (7) ;thirami ;thitami ;thirami ;thiyami 
réchauffer dans la marmite ;vhaeli (7) ;thoween ;thoowei ;thoeei ;thoeen (Y) yalooyi (W) 
famine, disette ;manet ;manet ;manet ;manet ;manet 
il a faim ;mada~n ;made-n ;made-n ;made-n ;Made-n 
avoir envie de manger de viande ;la mwanginy (T) ;;mwanginy ;khaio ;khaio 
il est rassasié ;mele (nyang) ;mele Cyek) ;hun jie-n ;hun jie-n ;hac jie-n 
avoir trop mangé de graisse ;thegu (7) ;thegu ;thegu ;thegu/ phu ;thegu (Y) thera (W) 
vivres, provisions ;dapit ;davit ;dapit ;davit ;javit 
part de vivres ;mwathd ;mwarhd ;mwatno ;mwano ;mwaro 
provisions de route, restes qu'on garde en réserve ;ngop, ngova-n ;ngaps ngau-n ;ngapy ngau-n ;ngap, ngau-n ;Ngaps ngau-n 
résidus, broutilles, restes ;macan (T) ;;hmocap ;hmoyap ;hmoy ap 
épluchures, déchets ;dau (T) ;;davu ;dau ;jau 
restant, son surplus ;théla-n (7) ;;tnele-n ;tnele-n ;céle-n (Y) enele-n (W)
manger (en général), repas ;hwi-aman ;hwi-aman ;hwi-aman ;hwi-aman (Tendo) huu (Coutna) ;huu 
manger (terme poli, en par~ lant d'un chef) ;waadap (2) ;waadap ;mawaadap ;mooxon ;maadap/ po-pwaluk (Y) 
manger des tubercules accom- pagnés de viande ou de poisson ;po~cein ;po~cain ;pmwa cain ;po-cain ;po-cain 
manger des féculents (ignames, taros, bananes, riz) ;cani ;cani ;cani ;cani ;cani 
sa part de féculent ;ca-n ;ca-n ;ca-n ;ca-n ;ca-n 
manger de son, crustacés, coco, mais la viande, du pois- ;hwii ;hwii ;hwii ;hwii ;hwii 
sa part de viande, de poisson ;hua-n (T) ;hue-n ;hwie-n ;hwie-n ;hwie-n 
sa part de coquillages ;;havie-n ;;havie-n ;havie-n 
macher des @écorces ou du ma- gnania ;hwai ;hwai ;hwai ;hwai ;hwei 
Sa part 4 macher ;hwaa-n ;hwaa-n ;hwaa-n ;hwaa-n ;hwee-n 
prémacher des féculents (pour bébés ou malade) ;hwai ca-n ;hwai ca-n ;hwei ca-n ;hwei ca-n ;maa ca~n (Y) 
manger, sucer de sucre la canne a ;holi ;huli ;huli ;huli ;huli ; 
8a part de canne 4 sucre ;hola-n ;hule-n ;hule-n ;hule-n ;hule-n 
manger des feuilles cuites, de la salade, certains fruits ;kaje ;kaje ;kaje ;kaje ;kuuni 
sa part de salade ;kuu-n ;kuu-n ;kuu~n ;kuu-n ;kuu-n 
croquer quelque chose de dur, de croustillant ;kaubii (7) ;kaubii ;kaubii ;kaubii ;kaubii 
boire de l'eau, une boisson froide ;khGduk, khadi ;khiduk, khidi ;knuduks knudi ;knuduk, knudi ;khdduk. khOdi knuduk, knudi (Y) (W) 
sa boisson (froide) ;khidoo-n ;khidoo-n ;knudoo-n ;knudoo~n ;khde-n (Y) knue-n (W) 
boire chaud (thé, tisane) ;vhalo. vhaloi ;vhelo. vheloi ;thon, thovi ;felo, feloi ;phelo, pheloi 
café ;kafe (T) te ;kafe ;kaphe ;kafe ;kaphe 
the ;(Tf) ;te ;tii ;te ;te 
gateau cuits dans les feuilles de féculents rapés ;hmwata (7) ;hmwata ;hmwata ;hmwata ;hmwata 
bounia ;hlohloi ;hlohloi ;pwaloi ;hlohloi ;hlohloi 
pain ;pwarawa (7) ;fwalawa ;phwaawa ;pwa Lawa ;pwalaa (Y) pwalao (W) 
sel ;dalik (T) ;dalik ;dalik ;dalik ;(Y) kon jalik(W) 
saler la nourriture ;na-dii dalik (7) ;na-dii dalik ;fi-talik ;fi-ralik suka ;na-dii kon (Y) suka 
sucre ;suka (T) ;suka ;cuka 
viande ;hyan-tau/ hmove-aman (T) ;hyan-tau/ yuap/ hmaa-cawek ;hyan-tau ;hyan-tau ;hyan-tau 
son morceau de viande ;hmove-hua~n (2) ;hmavi-n ;hmavi-n ;hmavi-n ~ hmai-n ;hmai-n 
graisse ;geree (2) ;gereec ;gereeny ;gereec ;gereec 
difficile, qui ne mange que ce qu'il aime ;ka-masangen (7) ;ka-masangen ;ka-mage ;ka-manyangen/ ka-mage ;ka-mage 
gourmand ;ka-hwi-aman (7) ;ka-hwi-aman ;ka-hwi-aman ;ka-hwi-aman (Tendo) 
non comestible ;hyen (1) ;hyen ;hyen ;hyen ;hyen 
lécher, gofiter en léchant ;hnami (2) ;hnami ;hnami ;hnami ;hnami 
essayer, goiiter ;hya-teman (7) ;cagi ;cagi/ hya-neme-n ;cagi ;caji 
le got de quelque chose, Sa saveur ;nema-n (T) ;neme-n ;neme-n ;neme-n ;neme-n 
délicieux, bon au ;goiit nehya ;nehya ;neha ;nea ;nea 
mauvais au godt ;naguc (0) ;neguc ;neguc ;neguc ;neguc 
fade, insipide ;nem (2) ;nem ;nehyuk ;neyuk ;nangenuk (y) neyuk (W) 
trop salé au goft ;hyac (f) ;hyac ;hyac ;hyac ;hyac 
amer, trop salé, immangeable ;;ku-hnit ;;ku-hnit 
acide, qui agace les dents ;nganginy (7) ;nganginy ;nganginy ;nganginy ;nganginy 
piquant au goiit, aux sens (ex, alcool sur plaie) ;tiiuk (7) ;tiiuk ;tiiuk ;tiiuk ;tiiuk 
pimenté, relevé ;thook (2) ;thook ;thook ;thook ;thook 
cuit ;meek ;meek ;meek ;meek ;meek/ hmirang (Y) meek (W) 
ecru pas assez cuit ;heyo gaa heyo ;heyo ;heyo ;heo ;ngak 
trop bralé, carbonisé ;geedak (1) ;gaa heyo kheuk ;geeda ;gaa heo geeda ;gaa ngak terim 
trop cuit, colle dans lamarnite ;thokec (7) ;thoxec ;thokec ;thoxec ;thoxec
moisi (pain, natte) ;thopwiik (2) ;thowiik ;thopwiik ;thowi ik ;thowiik 
pourri, gaté (= mou) ;hnyat ;hnyat ;hnyat hmedo ;hnyat ;hnyat hmedo 
avariée (nourriture) ;hmedo (T) ;hmedo ;;hmedo 
pipe ;pwaip (7) ;pwaip ;pwaip sikaat ;pwaip ;pwaip sikaa (Y) cikaa (NM) 
cigarette ;sikaa (7) ;sikaa ;;cikaa 
fumer ;ivu sikaa (T) ;uvi ;hivu ;uvi ;uiyu
tresser (nattes, paniers) ' ;pai ;pai ;pai ;pai ;pai 
faire du tressage ;pai kham ;pai bareho ;pa-bareho ;pa-bareo ;pa-bareo 
feuille de pandanus séche pour le tressage ;baleho {P) ;bareho ;bareho ;bareo ;bareo 
fibre fraiche de pandanus ;caan-that ;caan-that ;caan~that ;caan-that ;caan-that 
piquants de trale qu'on enléve la nervure cen- ;duu-n (7) ;duyee-n ;ducee-n ;duyee-n ;duu-n jai-n 
piquants sur la lisiére des feuilles ;;;;hwaajeene-n ;hwaajeene-n 
assouplir les fibres en les lissant ;weei baleho (T) ;weei bareho ;wee bareho ;weei/ wee bareo ;wee bareo 
couper en laniéres pour le tressage ;tie that (T) ;tie that ;tie that ;tie that ;tio that ; 
natte ;kham/ kham thapei ;kham/ kham thevi ;knam/ knam thepi ;knam/ knam thevi ;kham/ kham thevei hnem/ hnem thevei ;(Y) (W) 
sa natte ;kh@u-n (2) khao-n (0) ;khau-n ;knau-n ;knau-n ;khau-n (Y) hnebwe-n (W) 
étaler par terre (natte) ;thapei (2) ;thevi ;thepi ;thevi ;thevei 
Matte en pandanus (a tres- sage trés fin) ;duu kham (7) ;;due-knam ;duu knam ;jue~kham (Y) jue-hnem (W) 
sorte de natte en pandanus ;pelap ;pelap ;pela ;pelap 
sorte de natte en pandanus ;pela-tuut ;pela-tuut ;pela-tuut ;pela-tuut ;va-yuut 
natte en pandanus 4 larges fibres ;haalim (7) ;haalim ;haalim ;haalim ;haalim 
sorte de natte ;;;;mejelen 
petite natte dune seule place ;kham hmido (7) ;;knam hmido ;knam hmido 
natte faite avec deux demi- palmes de cocotier ;pola ;pola ;pola ;pola ;pola 
panier of l'on range les nattes ;phalawe (7) ;falawe ;phalawe ;phalawe ;phalao 
panier, son panier ;keet. kee-n ;keets kee-n ;keet. kee-n ;keet, kee-n ;keet. kee-n 
panier plat en cocotier ;kele-pola (T) ;kele-wela ;;kele-vola ;kele-wela 
panier de portage en co- cotier ;ke-wabo (T) ;ke-wabo ;ke-wabo ;ke~wabo ;ke-wabo 
petit panier en cocotier ;;;;ke-gavac 
panier en cocotier ;ke-bahon-tonga ;ke-bahon-tonga ;ke-ala-pwaen ;ke-ala~pwaen ;ke~ala-pwaen ke-ala 
panier en cocotier 4 fond plat rectangulaire ;ke-vala (0) ;;ke-vala ;ke-pala ;(Y) 
panier en cocotier rond avec anse ;ke-tuaut (7) ;;ke-tuaut ;ke-ruaut ;ke-ruaut 
panier en pandanus ;ke-that ;ke-that ;ke-that ;ke-that ;ke-that 
panier pour igname Dioscorea bulbtfera ;ke-dimwa (7) kehlook dimwa ;ke-niwa (0) ;ke-niwa ;ke-niw& ;kee-n dimwa 
panier of l'on range les monnaies traditionnelles ;kee-n jila kele-hitei (7) (0) ;kee-n jila ;kee-n jila ;kee-n jila ;kee-n theo (W) 
petit panier en pandanus pour la péche aux crevettes ;;ke-thook ;ke-thook ;ke-rook ;ke-rook 
corde (= liane) ;wok ;wak ;wak ;wak ;wk 
corde de quelque chose ;wa-n (7) ;wa-n ;wa-n ;wa-n ;wé-n 
bout de plumet la corde, pompon, ;thila-n, thile- ;thile-ns thire- ;thile-n) thire- ;thile-n, thire- ;thile-n. thire- 
rouleau de corde ;gomwan-wok (7) ;damwen-wak ;;gamwen-wak ;bwamungen-wak 
corde d‘attache, longe ;dan ;dan ;dan ;dan ;w8k 
bretelles de portage ;banek (Tf) ;banek ;pap ;bwexe-vap ;bwee-vap 
fibre arrachée sur la ner- vere centrale de la palme de cocotier (sert de lien) ;kawat ;kawat ;kawat ;kawat ;kawat 
tordre, casser une liane pour l' assouplir ;bide (7) ;bide ;bide ;bide ;bide 
‘faire de torsadant la grosse corde en ;;tagi ;tagi ;tagi ;tagi
filer de roulanct sur la cuisse la corde en la ;thaakhi ;bili ;bili ;bili ;biyi 
faire une corde 4 plusieurs brins, faire une tresse ;bali ;bali (2) ;fill ;fili ;phili 
nouer ;pigi ;pigi ;pigi ;pigi ;thingei / 
noeud ;kae-pigi thaa (T) ;kaa-pigi-en ;kave-pigi ;kave-pigi ;hman-thingei 
attacher (avec noeud) ;;thaa ;thaa ;thaa ;thaa 
ligaturer, ficeler, (= emprisonner) ;hiva ;hiva (7) ;hwakni ;hwangi ;hwangi 
attacher, fixer ;;;thulaci ;thulayi ;thulayi (¥) 
détacher, délier ;tua ;tua ;tua/ patua ;tua/ parua ;tua 
se défaire, tomber tout seul ;khoLlok ;kholok ;kholok ;kholok ;kholok 
fermer, coudre avec lianes (L'ouverture du panier) ;hyooi hwa-n (7) ;bidi hwa-n ;bidi hwa-n ;bidi hwa-n ;thulayi hwa-n 
aiguille ;du-bwek (7) du-gak (0) ;du-bwek ;du-bwek ;du-bwek ;du-bwek 
coudre (couture) ;hyooi (7) ;thoi ;tibi ;thoi ;thigic ; 
enfiler (perles, poissons sur baguette, etc.) ;tuuvi (7) ;tuuvi ;tuuvi ;tuuvi ;juuvi (Y) 
enve Lopper ;thewi ;thewi ;thewi ;thewi ;hnebwii 
envelopper des condiments dans des feuilles pour les faire cuire ;thewi ;thew ;phooms phoomi ;phoom.s phoomi ;phoom, phoomi 
faisceau, fagot, paquet de choses non reliées (ex. can~ nes 4 sucre) ;galic, gale~ (7) ;galic, gare- ;galic, gare- ;galic, gare- ;galic.s gare- 
paquet de choses reliées, touffe ;bwaun ;bwaun ;bwaun ;bwaun ;gaun 
paquet, enveloppe végétale pour cuire des condiments ;deuc, deve- (7) ;deuc, deve- ;deuc, deve- ;deuc, deve- ;diguc, dive~ 
paquet de forme oblongue 1i6 aux deux bouts ;;;dihulut ;diulut ;diulut (W) 
bagages ;bwan-mwau (7) ;bwan-mwau ;bwan-mwau ;bwan-mwau ;bwan-mwau 
hache, tamioc hache en pierre hache en fer ;gi gi paik gi toki ;gi gi paik gi toxi ;gi gi paik gi toki ;gi gi paik gi toxi ;gi gi paik gi toxi 
hache ostensoir (usage céré- moniel) ;;bwa-paik ;bwa-paik ;bwa-vaik ;bwa-vaik 
couteau ;hele (2) ;hele ;hele ;hele ;hele 
scie ;be-cei ceek (7) ;ba-cei ceek/ gili ;ba-cei ceek ;ba-cei ceek/ gili ;ba-cei ceek/ gili 
rabot ;;melek ;ba~hyeli ceek ;me Lek 
mar teau ;be-kaai daan-piuk (7) ;ba-kaai daan-piuk ;ba~kaai bahla ;ba-kaai daan-piuk ;ba-ka-daan-piuk 
clou ;daan-piuk (T) ;daan-piuk ;bahla ;daan-piuk ;daan-piuk 
manche de hache ;ce-le-gi ;ce-le-gi ;ce-le-gi ;ce-le-gi ;nge-n gi 
son manche ;nga-n/ cethé-n (TZ) ;nge-n ;nge-n ;ceene-n/ nge-n ;nge-n 
caler le manche ;bahla (2) ;bahla ;;balai (Tendo) 
son coin (pour caler) ;;;hwie-n gi ;hwie-n gi (Coulna) ;hwie-n gi 
son fil (d'une lame) ;hwa-n (2) ;hwa-n ;hwa-n ;hwa-n ;hwa-n 
affiter ;yale (2) ;yale ;yale ;yale ;yalo 
pierre pour afftter ;vayato (T) veato (0) ;vayaro/ ba~-yale-aman ;vayato ;vaaro/ ba~-yale-aman ;vaaro/ ba~yalo-aman 
ébrécher le Fil d'une lame ;;hnyihnyii hwa-n ;tinii hwa-n ;hinyii hwa-n 
émoussé, mal aiguisé ;neny/ koi hwa-n ;neny/ koi hwa-n ;neny/ koi hwa-n ;neny/ koi hwa-n ;neny/ koi hwa-n 
bien aiguisé ;cec (T) ;cac ;cac ;cac ;cec 
bois ;ceek ;ceek ;ceek ;ceek ;ceek 
planche ;kan-ceek ;kan-ceek ;kan-ceek ;kan-ceek ;kan-ceek 
copeau de bois ;macan-ceek (I) ;manyen-ceek ;macan-ceek ;mayan-ceek ;mayan-ceek 
seiure ;can-ceek ;can-ceek ;can-ceek ;can-ceek ;can-ceek 
baton, canne ;bwaleja (T) ;bwareja ;bwareja ;bwarija ;jek. jexe-n 
échelle ;kae-ta (7) ;kaa-ta ;kave-ta ;kave-ta ;hman-ta/ hman-cora 
Fourche ;kako (Tf) ;kaxo ;pe-pic ;pe-pic ;pe-pic
fer ;toki ;toxi ;toki ;toxi ;toxi 
tdle ;kapwa (T) ;kawa ;kapwa ;kapwa ;kapwa 
auto ;loto ;loto ;loto | ;toto ;Loto 
rouille (= déféquer) ;paat ;paat ;hnatna ;hnana ;hnaxa 
travailler le bois, faire de la menuiserie faire un bateau ;jili (P) ;jili ;jili ;jili ;jili 
écorcer un bois avec couteau ;the-pwadi (2) ;the-pwadi ;the-pwadi ;the-pwadi ;the-pwaji 
peler des écorces (ex. 1'6- corce des niaoulis) ;hnibe ;hnibe ;hnibe ;hnibe (Tendo) thibe (Coutna) ;thibe 
couper du bois (4 ;la hache) thegapi ceek ;thegavi ceek ;tha-ceek ;tha-ceek ;tha-ceek 
scier ;cei ceek ;cei ceek ;cei ceek ;cei ceek ;cei ceek 
tailler du bois ;;davi ;thavi ;thavi ;kubi ceek 
épointer ;po-maa-n (T) ;davi maa-n/ po-maa~n ;thavi maa-n ;thavi maa-n/ po-maa-n ;po-mae-n ; 
raboter ;hyeli ;hyeli ;hyeli ;hyeli ;hyeLi 
visser, dévisser ;bitai (T) ;birai ;bitai ;birai ;birai 
taper pour enfoncer ;the-bahlii/ thatha ;the-bahlii ;thatha ;the-balii ;the-balii 
maintenir, fixer ;the-bi le ;the-bile ;the-bile ;the-bile ;the~-bilee 
fixer, caler ;nyuui (2) ;nyuui ;;nyuui 
bloquer (porte), barrer (route) ;ta-mwaji (T) ;theeni ;theeni ;theeni ;seeni 
coincé ;;mije ;mije ;mije ;nije 
coller ;vhaat. vhaali (7) ;vhaat. vhaali ;faat, faali ;faat, faali ;faat, faali 
coller, adhérer ;thaac (0) ;thaac ;thaac ;thaac 
joindre deux piéces, ajuster ;pe~cina ;pe-cina ;pe-cina ;pe-cina ;pe-cina 
raccorder, réunir ;pe-taacina ko-n (T) ;pe-taaina o-n ;pe-teecina ko-n ;pe-teejai xo-n ;pe-teejai xe-n 
percer quelque chose de dur ;hili (2) ;hili ;hil ;hili ;hili 
percer, faire un trou ;the-dikhi/ taa-dua ;taa-dua ;tee-dua ;tee-dua ;tee-dua 
courber, couder, tordre ;taajii (7) ;taajii ;teejii ;teejii ;teejii 
chose ;aman ;aman ;aman ;aman puu-n puxe- ~ pue- ;aman 
sa base, son origine base de~, origine de- ;puu-n pue- ;puu-n pue- ;puu-n puxe % pue- ;;puu-n pue- (Y)/ puxe- (W) 
son bout, son extrémité bout de-, extrémité de- ;hula-n (2) hule- (2) ;hule-n hure- ;hule-n hure- ;hule-n hure- ;hule-n hure- 
son bout, quelque chose d'allongé) son morceau (de ;bala-n ;bale-n ;bale=-n ;_ bale-n ;bale-n 
bout de- ;bale- ;bare- ;bare~ ;bare- ;bare- 
sa tranche, son son pan, morceau (de quelque chose de plat) ;kan, kada-n ;kan. kade-n ;kan. kade-n ;kan, kade-n ;kan. kade-n 
sa pointe pointe de- ;maa-n mae- ;maa-n mae- ;maa-n maye- ;maa-n may e- ;mae-n maye- 
son coté c6té de- ;vhila-n (2) vhile- (T) ;vhile-n vhire- ;file-n fire- ;file-n fire- ;phile-n phire- 
son bord, sa lisiére bord de- ;jela-n jele~ (7) ;jele-n jere- ;jele-n jere- ;jele-n jere- ;jele-n jere- 
son dessus (= dessus de- sa t@te) ;ga-n gan- ;ga-n gan- ;bwa-n bwan- ;bwa-n bwan- ;bwa-n bwan- 
son dessous intérieur de-, dessous de- ;katacn (T) kate- (T) ;kale-n kare- ;kale-n kare- ;kale-n kare- ;kale-n kare- 
son milieu ( de quelque chose d'allongé) ;vhakoo-n (T) ;vhaxoo-n ;fakoo-n ;faxoo-n ;phaxoo-n 
milieu de- ;vhakoon- (2) ne-n ;vhaxoon- ;fakoon- ;faxoon- ;phaxoon- 
son centre, son dedans ;(1) ne-n ;;ne-n ;ne-n ;ne-n 
son intervalle ;hyane hyana-n (T) ;dawee-n 
contenu, son contenu ;;hyan, hyane-n ;hyan, hyane-n ;hyan, hyane-n ;hyan. hyane-n 
son contenant (enveloppe, coquille, carapace, etc.) ;pii-n ;pii-n ;pii-n ;pii-n ;pii-n 
son fond le fond de- ;pwii-en (7) pwiye- (T) ;pwii-n pwiye- ;pwii-n pwiye- ;pwii-n pwiye- ;pwii-n pwiye- 
sa longueur (= sa durée) ;dahma-n (T) ;dahme-n ;dahma-n ;hwaye-n ;hwaye-n 
dépasser, @tre plus haut ;hyalaai (7) ;hyaadoi ;hyadooi ;hyadooi ;hyadooi 
gros, grand ;hun ;hun ;hun ;hun ;hac 
trés grand, immense ;paa hun (T) ;vahiin ;enen hun ;vaiin ;vaiin
long ;gahlia ;, gahlia ;gahlia ;galia ;hwalic 
long, allongé (préposé au nom) ;hoole-Caman) (7) ;hoore- (aman) ;hoore- (aman) ;hoore- (aman) ;hoore- (aman) 
s'allonger ;hook (T) ;hook ;hook/ knoa ;hook/ knoa ;hook 
petit ;hwatin (7) mwany (0) ;mwany ;mwany ;mwany ;pwen-mwany - 
court, petit ;humwa (7) ;humwa ;humwa ;humwa ;khObut huum (W) (yY) 
rétrécir (ex. corde mouillée) ;hiilic (7) ;hiilic ;hiilic ;hiilic ;hiilic 
étroit (passage) ;ubac (T) ;ubec ;ubec ;ubec ;ubec 
rond ;pwalago (T) ;pwalago ;fiye-aman (= boule) ;pwalago ;pwatago (Y) pwararago (W) 
lourd ;theec (2) pwahluk (0) ;theec/ pwaluk ;theec ;theec ;pwaluk 
léger (= facile, aisé) ;haom tetep ;haom ;haom tetep ;haom ;haom 
mince, transparent ;;terep ;;terep ;terep 
épais ;thabo ;thabo ;thabo ;thabo/ huju ;huju 
plat, large ;kalapa ;kalava ;kahlLapa ;kalava ;kalava ; 
plat, @gal, de méme niveau ;hedataan (T) ;hedaraan ;hedataan ;hedaraan/ daraan ;sedaraan 
plat ;;;knobovi ;knobovi ~ knoboi 
lisse ;maahlap (Tf) ;;;;maava 
glissant ;net ;net ;heela ;heela ;heela 
rugueux au toucher, non lis- se feuilles) (ex. lainage, certaines ;;;hmwatac ;hmwarec ;hmwarec (W) 
droit, rectiligne ;baangeet ;bangeet ;tugoon ;tuva ;cuvayuut (Y) cua (W) 
raide ;;;hyeet ;hyeet ;hyeet (W) 
dur, résistant, fort ;Ngaayuk ;ngaayuk ;ngaayuk ;ngaayuk ;ngaayuk 
durci, racorni (action de l'eau, du feu) ;;;;;culada (Y) 
avec fermeté, résistant (postverbe) ;tilihmwet (2) ;jiwa, jiwali ;jiwa, jiwai ;jiwa, jiwali ;wac, wai 
mou (= pourri) ;hynat ;hnyat ;hnyat ;hnyat ;hnyat 
qui s'effrite, humide, un peu pourri ;many (T) ;munya ;munya ;munya ;munya 
tordu ;hwek ;hwek ;hwek ;hwek ;hwek 
pointu ;pwa maa-n ;fw& maa-n ;pmwa maa-n ;pmwa maa-n ;phwS mae-n. (Y) pmwa mae-n (W) 
vieux, usé ;yaun, yave-aman (2) ;yauns yave-aman ;yaun, yave-aman ;yaun, yave-aman ;uden 
neuf ;gaa koha (7) ;gaa kohya ;gaa koha ;gaa koa ;gaa kop 
nouveau, qu'on voit pour la premiére fois ;gaa kaca (7) ;gaa kaya ;gaa kaca ;gaa kaya ;gaa kaya
vivre, vie ;motip ;marip ;matip ;maric ;maric 
homme ;kahyuk ;kahok ;kahok ;khaak (Tendo) kac (Coulna) ;kac 
homme, male (déterminant post- posé) ;~kaCh) yuk ;~-kayuk ;-kayuk ~ -xayuk ;~kayuk ~ -xayuk ;-kayuk ~ -xayuk 
